Position,Precinct,BallotsCast,RegisteredVoters,TotalVotes,Candidate1Name,Candidate1Votes,Candidate1Percentage,Candidate2Name,Candidate2Votes,Candidate2Percentage,WriteInVotes,OverVotes,UnderVotes
"Position 3",329,2045,10173,1728,"Nancy Thomas",1691,97.86,"",0,0,37,0,317
"Position 3",330,466,2761,372,"Nancy Thomas",361,97.04,"",0,0,11,0,94
"Position 3",332,430,3677,386,"Nancy Thomas",379,98.19,"",0,0,7,0,44
"Position 3",333,37,403,33,"Nancy Thomas",33,100.00,"",0,0,0,0,4
"Position 3",334,28,133,18,"Nancy Thomas",16,88.89,"",0,0,2,0,10
"Position 3",335,1387,5367,1118,"Nancy Thomas",1069,95.62,"",0,0,49,1,269
"Position 3",336,806,4070,656,"Nancy Thomas",644,98.17,"",0,0,12,0,150
"Position 3",337,202,2020,173,"Nancy Thomas",166,95.95,"",0,0,7,0,29
"Position 3",338,261,2799,207,"Nancy Thomas",201,97.10,"",0,0,6,0,54
"Position 3",341,47,249,32,"Nancy Thomas",32,100.00,"",0,0,0,0,15
"Position 3",343,731,3408,600,"Nancy Thomas",581,96.83,"",0,0,19,0,131
"Position 3",344,801,4287,643,"Nancy Thomas",635,98.76,"",0,0,8,0,158
"Position 3",345,5,30,1,"Nancy Thomas",1,100.00,"",0,0,0,0,4
"Position 3",346,77,362,60,"Nancy Thomas",55,91.67,"",0,0,5,0,17
"Position 3",356,201,1162,162,"Nancy Thomas",157,96.91,"",0,0,5,0,39
"Position 3",369,0,0,0,"Nancy Thomas",0,0.00,"",0,0,0,0,0
"Position 3",370,575,2596,459,"Nancy Thomas",458,99.78,"",0,0,1,0,116
"Position 3",373,78,405,63,"Nancy Thomas",63,100.00,"",0,0,0,0,15
"Position 3",374,3,8,3,"Nancy Thomas",3,100.00,"",0,0,0,0,0
"Position 3",382,465,3736,363,"Nancy Thomas",355,97.80,"",0,0,8,0,102
"Position 3",422,4,15,0,"Nancy Thomas",0,0.00,"",0,0,0,0,4
"Position 3",426,101,527,61,"Nancy Thomas",61,100.00,"",0,0,0,0,40
"Position 3",430,561,2361,391,"Nancy Thomas",373,95.40,"",0,0,18,0,170
"Position 3",431,56,259,39,"Nancy Thomas",38,97.44,"",0,0,1,0,17
"Position 3",439,36,80,23,"Nancy Thomas",22,95.65,"",0,0,1,0,13
"Position 3",440,305,2093,265,"Nancy Thomas",255,96.23,"",0,0,10,0,40
"Position 3",446,6,37,6,"Nancy Thomas",6,100.00,"",0,0,0,0,0
"Position 3",450,31,76,10,"Nancy Thomas",10,100.00,"",0,0,0,0,21
"Position 3",451,229,1431,184,"Nancy Thomas",178,96.74,"",0,0,6,0,45
"Position 6",303,96,440,88,"Katie Rhyne",55,62.50,"Rebecca Descombes",33,37.50,0,0,8
"Position 6",304,220,1428,208,"Katie Rhyne",133,63.94,"Rebecca Descombes",74,35.58,1,0,12
"Position 6",307,1165,6321,1106,"Katie Rhyne",741,67.00,"Rebecca Descombes",343,31.01,22,0,59
"Position 6",308,43,149,35,"Katie Rhyne",29,82.86,"Rebecca Descombes",5,14.29,1,0,8
"Position 6",309,1122,5849,1080,"Katie Rhyne",727,67.31,"Rebecca Descombes",338,31.30,15,0,42
"Position 6",310,23,146,21,"Katie Rhyne",16,76.19,"Rebecca Descombes",5,23.81,0,0,2
"Position 6",313,2,3,2,"Katie Rhyne",2,100.00,"Rebecca Descombes",0,0.00,0,0,0
"Position 6",314,89,385,84,"Katie Rhyne",50,59.52,"Rebecca Descombes",34,40.48,0,0,5
"Position 6",315,134,585,117,"Katie Rhyne",85,72.65,"Rebecca Descombes",28,23.93,4,0,17
"Position 6",316,353,1671,315,"Katie Rhyne",200,63.49,"Rebecca Descombes",114,36.19,1,0,38
"Position 6",317,57,273,51,"Katie Rhyne",34,66.67,"Rebecca Descombes",16,31.37,1,0,6
"Position 6",318,974,5271,907,"Katie Rhyne",587,64.72,"Rebecca Descombes",310,34.18,10,0,67
"Position 6",319,929,6505,879,"Katie Rhyne",515,58.59,"Rebecca Descombes",363,41.30,1,0,50
"Position 6",322,24,233,21,"Katie Rhyne",17,80.95,"Rebecca Descombes",3,14.29,1,0,3
"Position 6",326,80,413,66,"Katie Rhyne",40,60.61,"Rebecca Descombes",26,39.39,0,0,14
"Position 6",327,1216,7317,1177,"Katie Rhyne",774,65.76,"Rebecca Descombes",403,34.24,0,0,39
"Position 6",328,234,1223,195,"Katie Rhyne",120,61.54,"Rebecca Descombes",72,36.92,3,0,39
"Position 6",329,2045,10173,1960,"Katie Rhyne",1368,69.80,"Rebecca Descombes",573,29.23,19,0,85
"Position 6",330,466,2761,426,"Katie Rhyne",246,57.75,"Rebecca Descombes",167,39.20,13,0,40
"Position 6",332,430,3677,420,"Katie Rhyne",279,66.43,"Rebecca Descombes",139,33.10,2,0,10
"Position 6",333,37,403,35,"Katie Rhyne",13,37.14,"Rebecca Descombes",22,62.86,0,0,2
"Position 6",334,28,133,26,"Katie Rhyne",14,53.85,"Rebecca Descombes",10,38.46,2,0,2
"Position 6",335,1387,5367,1316,"Katie Rhyne",953,72.42,"Rebecca Descombes",345,26.22,18,1,70
"Position 6",336,806,4070,762,"Katie Rhyne",513,67.32,"Rebecca Descombes",239,31.36,10,0,44
"Position 6",337,202,2020,198,"Katie Rhyne",111,56.06,"Rebecca Descombes",79,39.90,8,0,4
"Position 6",338,261,2799,254,"Katie Rhyne",155,61.02,"Rebecca Descombes",99,38.98,0,0,7
"Position 6",341,47,249,41,"Katie Rhyne",32,78.05,"Rebecca Descombes",9,21.95,0,0,6
"Position 6",343,731,3408,694,"Katie Rhyne",491,70.75,"Rebecca Descombes",193,27.81,10,0,37
"Position 6",344,801,4287,764,"Katie Rhyne",507,66.36,"Rebecca Descombes",255,33.38,2,0,37
"Position 6",345,5,30,4,"Katie Rhyne",1,25.00,"Rebecca Descombes",3,75.00,0,0,1
"Position 6",346,77,362,69,"Katie Rhyne",46,66.67,"Rebecca Descombes",20,28.99,3,0,8
"Position 6",356,201,1162,187,"Katie Rhyne",100,53.48,"Rebecca Descombes",83,44.39,4,0,14
"Position 6",369,0,0,0,"Katie Rhyne",0,0.00,"Rebecca Descombes",0,0.00,0,0,0
"Position 6",370,575,2596,548,"Katie Rhyne",387,70.62,"Rebecca Descombes",158,28.83,3,0,27
